si_gun_gu,house_num,main_num,sub_num,apt_name,dedicated_area,contract_yymm,contract_dd,amt_10000,floor,construction_yy,road_name
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201812,1~10,18400 ,7,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201812,1~10,15950 ,4,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201812,21~31,17000 ,13,2005,경강로2539번길
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201812,11~20,14900 ,9,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201812,21~31,15400 ,11,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201812,21~31,19200 ,4,1999,가작로
강원도 강릉시 교동,1767,1767,0,교동2현대,99.98,201812,11~20,25600 ,14,1999,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,201812,1~10,18600 ,10,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,201812,11~20,17100 ,9,2002,교동광장로
강원도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,201812,11~20,25300 ,14,2006,종합운동장길
강원도 강릉시 교동,834,834,0,덕진,40.86,201812,1~10,5800 ,5,1988,옛강일길
강원도 강릉시 교동,834,834,0,덕진,40.86,201812,11~20,5000 ,3,1988,옛강일길
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201812,11~20,18800 ,3,2001,하슬라로
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201812,11~20,19950 ,11,2001,하슬라로
강원도 강릉시 교동,348-6,348,6,서일2,27.75,201812,11~20,4350 ,5,1987,수리골길17번길
강원도 강릉시 교동,348-6,348,6,서일2,27.75,201812,11~20,3600 ,1,1987,수리골길17번길
강원도 강릉시 교동,348-6,348,6,서일2,27.75,201812,21~31,3800 ,3,1987,수리골길17번길
