year,all_region,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,cb,cn,jb,jn,kb,kn,jeju
2015-08,37974,6968,1023,1764,811,222,298,896,1458,12487,511,1025,1657,1932,1473,1907,2311,1231
2015-09,38238,6677,994,2015,585,910,244,1302,587,10781,1896,2327,2359,1563,686,2565,2233,514
2015-10,43344,5512,5146,306,502,417,648,166,1842,9904,547,1107,2430,1391,2083,2990,7856,497
2015-11,36985,4772,842,2821,1047,184,1323,714,284,7726,2668,3203,2361,760,1241,3018,2936,1085
2015-12,67185,5881,3733,5588,1619,739,233,2147,3091,20144,2717,2446,3069,1202,3594,5646,3034,2302
2016-01,38607,8247,1248,2510,712,866,350,187,804,8667,420,1954,3524,1509,834,1664,4260,851
2016-02,32366,5646,830,1013,567,215,546,188,848,10210,909,1461,1043,1439,475,5471,687,818
2016-03,29418,5447,789,3140,556,1379,712,205,305,6685,308,661,1502,1157,865,2487,2120,1100
2016-04,49957,7047,1034,2656,581,3803,378,2208,9,16111,592,278,6369,592,1145,1927,3410,1817
2016-05,36785,7329,806,670,878,1092,1161,287,1410,13093,310,644,2541,373,1523,1259,2228,1181
2016-06,55540,6417,1924,7076,5353,508,1621,901,32,17765,520,1544,1322,1846,4013,2470,1155,1073
2016-07,39766,7396,1030,2083,1329,665,199,232,1238,13001,1587,1445,1494,804,1742,2733,2024,764
2016-08,44141,8523,2806,2088,740,1013,206,307,982,13207,1790,1394,3749,772,804,1968,2691,1101
2016-09,38916,6195,3483,812,674,1208,1753,567,1927,10494,636,582,2652,1044,1608,2726,1745,810
2016-10,41273,3828,1998,2941,1180,127,203,523,50,14081,2748,1873,4001,503,1742,1677,2429,1369
2016-11,43360,6166,1035,2190,764,429,656,223,493,14739,1839,2738,1961,1565,1043,2192,3982,1345
2016-12,64646,14696,2316,4008,1933,1977,483,1140,706,18243,1379,2305,3688,1015,2209,3889,3009,1650
2017-01,31992,5869,3014,1325,794,1732,708,422,35,9776,511,752,1193,334,582,1058,2185,1702
2017-02,40815,5178,986,2410,560,235,247,1149,2347,11004,478,1110,6705,221,432,2524,3942,1287
2017-03,33470,6034,2103,1453,734,1235,333,998,605,7443,312,510,755,1258,1571,2103,3942,2081
