year,all_region,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,cb,cn,jb,jn,kb,kn,jeju
2012-03,38167,6279,3704,158,929,2255,348,960,0,5631,649,992,5458,1497,2208,1645,4269,1185
2012-04,42175,6109,5652,297,737,1622,544,316,0,10423,1143,3477,3705,1985,1474,1735,1827,1129
2012-05,46086,5980,4513,1074,1936,1294,306,1331,0,9492,761,2174,2900,1433,6122,2296,3509,965
2012-06,50534,6865,3336,763,6304,2230,354,1008,0,9343,1137,2280,3750,1727,1256,1825,6613,1743
2012-07,43682,10417,1901,975,2193,3054,1119,269,0,11750,1230,723,1981,1279,1059,2220,2672,686
2012-08,39030,7686,4659,325,702,375,706,2208,1782,6049,840,2200,4503,1785,728,1620,1392,1470
2012-09,52216,6108,4926,293,3110,2222,233,304,1768,17516,1295,846,2132,2081,1596,4141,3205,440
2012-10,36908,6806,1239,182,-454,754,378,561,3656,10640,1207,1129,1189,2064,1438,2600,3146,373
2012-11,37845,8729,2106,1681,733,1407,-10,447,1469,11836,674,2852,2002,766,1057,1400,335,361
2012-12,138738,10073,6838,5718,10209,2335,1331,591,8759,46339,2428,6509,12999,6785,3156,2579,11978,111
2013-01,23952,3789,1210,532,402,1359,257,166,67,6254,368,337,700,255,497,1740,5644,375
2013-02,21591,3090,2120,646,459,120,53,134,937,4432,891,1375,2578,811,870,825,2044,206
2013-03,30051,4127,1062,209,385,345,128,179,3262,5341,508,2197,2317,2617,2020,1140,3843,371
2013-04,30915,5314,955,240,932,583,146,1110,1604,6239,1058,1866,2913,1205,1045,2599,2249,857
2013-05,35546,6206,5006,710,4718,508,251,254,760,5721,771,1505,1724,1175,991,2406,2453,387
2013-06,38208,6809,4340,306,2239,1342,1358,300,892,7522,1351,1815,3192,827,1971,1266,1098,1580
2013-07,36255,10730,1745,1134,719,216,350,395,92,9403,959,2231,1263,1366,601,1973,2610,468
2013-08,31979,8794,1302,1291,762,363,670,925,572,5151,1825,2192,1820,688,784,1189,3356,295
2013-09,33869,5552,1500,838,955,167,616,565,1150,8914,426,1927,3101,1560,860,3595,1844,299
2013-10,33348,5493,1038,2559,821,772,1159,681,593,7310,1099,828,2586,746,1297,4215,1774,377
2013-11,40257,5400,1539,3084,227,1086,72,172,4429,8668,1147,2533,1127,1484,3089,912,4997,291
2013-12,84145,12317,8105,6529,6288,1593,120,463,3486,21127,2561,461,9022,445,6036,2018,2771,803
2014-01,24602,4111,530,1108,445,72,238,513,297,7540,318,467,1563,834,1317,2533,2359,357
2014-02,29707,3001,428,298,1464,145,151,3281,187,7855,1097,1725,1201,591,3565,1198,2436,1084
2014-03,38969,4259,1898,713,1392,811,262,236,746,11787,1665,2846,2046,3028,1237,1553,4054,436
2014-04,42706,5989,1267,397,554,731,1486,1135,249,8660,736,2960,3584,1958,1564,4714,5639,1083
2014-05,41552,7802,1654,5102,633,1511,813,235,2138,8279,1255,1313,2928,1336,658,2514,2963,418
2014-06,42427,10190,3161,1883,1639,290,95,230,233,6286,471,729,5270,331,1634,4135,5281,569
2014-07,44572,4375,2200,1082,994,1817,142,679,5201,16802,1485,678,1785,391,1254,2115,2528,1044
2014-08,49067,2665,710,2619,708,442,102,219,2480,11092,3303,658,5575,401,688,7098,9529,778
