si_gun_gu,house_num,main_num,sub_num,apt_name,dedicated_area,contract_yymm,contract_dd,amt_10000,floor,construction_yy,road_name
강원도 강릉시 견소동,202,202,0,송정한신,59.8,201802,11~20,12500 ,13,1997,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201802,1~10,16200 ,3,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201802,1~10,27200 ,9,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201802,11~20,18500 ,12,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201802,21~28,27000 ,11,2005,경강로2539번길
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1727,201802,1~10,32000 ,3,2009,화부산로99번길
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,201802,21~28,44500 ,12,2009,화부산로99번길
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,201802,11~20,30200 ,14,2009,화부산로111번길
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,135.1008,201802,21~28,37400 ,15,2009,화부산로111번길
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201802,1~10,21000 ,8,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201802,21~28,16400 ,7,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201802,21~28,16200 ,11,1999,가작로
강원도 강릉시 교동,1767,1767,0,교동2현대,99.98,201802,21~28,24700 ,14,1999,교동광장로
강원도 강릉시 교동,1767,1767,0,교동2현대,99.98,201802,21~28,26500 ,9,1999,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,201802,1~10,16400 ,9,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,201802,1~10,18300 ,14,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201802,21~28,18200 ,10,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,201802,21~28,18300 ,13,2002,교동광장로
강원도 강릉시 교동,1762,1762,0,부영5,84.93,201802,11~20,21000 ,14,2001,교동광장로
강원도 강릉시 교동,1762,1762,0,부영5,84.93,201802,21~28,19900 ,4,2001,교동광장로
강원도 강릉시 교동,1775,1775,0,부영6,59.987,201802,21~28,17000 ,6,2003,정원로
강원도 강릉시 교동,348-6,348,6,서일2,27.75,201802,21~28,3700 ,1,1987,수리골길17번길
강원도 강릉시 교동,37-3,37,3,예성그린1,33.9,201802,1~10,2800 ,1,1995,가작로252번길
강원도 강릉시 교동,45-7,45,7,예성그린2차,56.26,201802,21~28,8000 ,2,1997,명륜로
강원도 강릉시 교동,1034,1034,0,정아타워맨션,84.95,201802,11~20,13200 ,3,1992,화부산로
강원도 강릉시 교동,46-1,46,1,한신,59.84,201802,1~10,14850 ,8,1997,명륜로
강원도 강릉시 남문동,1-2,1,2,명정그린빌라,135.99,201802,11~20,16000 ,5,1995,경강로2024번길
강원도 강릉시 내곡동,616,616,0,강부2,24.795,201802,21~28,3770 ,1,1988,관대길
강원도 강릉시 내곡동,616,616,0,강부2,41.18,201802,21~28,5200 ,3,1988,관대길
강원도 강릉시 내곡동,623,623,0,내곡주공,39.69,201802,1~10,5800 ,4,1989,관대길16번길
강원도 강릉시 내곡동,623,623,0,내곡주공,39.69,201802,21~28,6400 ,5,1989,관대길16번길
강원도 강릉시 내곡동,476,476,0,내곡한라,84.95,201802,11~20,14200 ,1,1997,강변로
강원도 강릉시 노암동,618-1,618,1,고합,32.04,201802,21~28,5350 ,3,1996,남부로125번길
강원도 강릉시 노암동,605,605,0,노암3한라,59.994,201802,21~28,12500 ,13,2000,남부로125번길
강원도 강릉시 노암동,390,390,0,노암한라,59.976,201802,1~10,10500 ,10,1994,노암길42번길
강원도 강릉시 노암동,627-2,627,2,대림임대,48.32,201802,1~10,6000 ,1,1989,임영로25번길
강원도 강릉시 노암동,627-2,627,2,대림임대,48.32,201802,21~28,4850 ,5,1989,임영로25번길
강원도 강릉시 노암동,661,661,0,범아,71.66,201802,21~28,2750 ,2,1980,임영로25번길
강원도 강릉시 노암동,711,711,0,신화,44.64,201802,1~10,9200 ,13,1998,강변로
강원도 강릉시 노암동,711,711,0,신화,59.944,201802,21~28,12700 ,4,1998,강변로
강원도 강릉시 노암동,245-5,245,5,현대,84.945,201802,21~28,12600 ,5,1992,율곡로
강원도 강릉시 송정동,1061,1061,0,경포대신도브래뉴로얄카운티,155.837,201802,11~20,54000 ,14,2007,해안로
강원도 강릉시 송정동,14-8,14,8,해변소라,49.68,201802,1~10,6150 ,5,1988,팔송길18번길
강원도 강릉시 연곡면 영진리,336-1,336,1,근화,59.36,201802,21~28,8500 ,5,1997,영진2길
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,201802,21~28,5200 ,11,1999,연주로
강원도 강릉시 연곡면 영진리,11,11,0,영진부영1,59.987,201802,1~10,13500 ,4,2005,영진3길
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,201802,11~20,10000 ,1,2005,영진3길
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,201802,21~28,18000 ,15,2008,영진3길
강원도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,201802,21~28,30000 ,11,2008,영진3길
