si_gun_gu,house_num,main_num,sub_num,apt_name,dedicated_area,contract_yymm,contract_dd,amt_10000,floor,construction_yy,road_name
강원도 강릉시 견소동,202,202,0,송정한신,59.8,201805,1~10,12500,6,1997,경강로2539번길
강원도 강릉시 견소동,202,202,0,송정한신,43.38,201805,11~20,10900,5,1997,경강로2539번길
강원도 강릉시 견소동,202,202,0,송정한신,116.175,201805,11~20,21000,11,1997,경강로2539번길
강원도 강릉시 견소동,202,202,0,송정한신,84.945,201805,11~20,16500,10,1997,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201805,1~10,24000,13,2005,경강로2539번길
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201805,11~20,25500,9,2005,경강로2539번길
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1727,201805,1~10,33000,3,2009,화부산로99번길
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1727,201805,11~20,34000,3,2009,화부산로99번길
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,201805,1~10,28900,4,2009,화부산로111번길
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,135.1008,201805,1~10,33000,1,2009,화부산로111번길
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,135.1008,201805,21~31,34800,4,2009,화부산로111번길
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,201805,21~31,29500,6,2009,화부산로111번길
강원도 강릉시 교동,1035-1,1035,1,강릉빌라트,159.36,201805,1~10,20000,2,1993,화부산로
강원도 강릉시 교동,1750,1750,0,교동1주공,49.85,201805,1~10,13000,11,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201805,1~10,15800,10,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201805,1~10,15700,6,1999,가작로
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201805,1~10,15700,7,1999,가작로
강원도 강릉시 교동,1767,1767,0,교동2현대,99.98,201805,21~31,26700,12,1999,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.79,201805,1~10,18100,15,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,201805,11~20,17800,6,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201805,11~20,17900,15,2002,교동광장로
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,201805,11~20,18200,14,2002,교동광장로
강원도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,201805,1~10,23000,3,2006,종합운동장길
강원도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,201805,11~20,24500,19,2006,종합운동장길
강원도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,201805,21~31,24800,5,2006,종합운동장길
강원도 강릉시 교동,332-2,332,2,대인맨션,78.96,201805,11~20,9000,6,1991,화부산로141번길
강원도 강릉시 교동,318-4,318,4,매화임대,48.6,201805,11~20,5000,4,1987,율곡로2968번길
강원도 강릉시 교동,348-6,348,6,서일2,27.75,201805,21~31,4600,1,1987,수리골길17번길
강원도 강릉시 교동,317-1,317,1,유화그린맨션,84.99,201805,21~31,11000,2,1991,가작로
강원도 강릉시 교동,Jan-46,46,1,한신,59.84,201805,21~31,11000,2,1997,명륜로
강원도 강릉시 교동,Jan-46,46,1,한신,59.84,201805,21~31,13900,11,1997,명륜로
강원도 강릉시 교동,828-19,828,19,현대,84.945,201805,21~31,13900,5,1992,옛강일길
강원도 강릉시 교동,1759,1759,0,현대하이빌,122.74,201805,11~20,27000,3,1999,원대로128번길
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,127.311,201805,1~10,17100,11,1992,홍제로
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,127.311,201805,1~10,18000,9,1992,홍제로
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,201805,21~31,16200,8,1992,홍제로
강원도 강릉시 내곡동,Jan-75,75,1,관동2,49.94,201805,1~10,6850,2,1992,남산초교길12번길
강원도 강릉시 내곡동,Jan-75,75,1,관동2,49.94,201805,1~10,6100,2,1992,남산초교길12번길
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,201805,1~10,10400,7,1993,남부로125번길
강원도 강릉시 내곡동,127,127,0,남산삼익,58.74,201805,21~31,8450,2,1993,남부로125번길
강원도 강릉시 내곡동,469,469,0,내곡동현대,84.99,201805,21~31,17000,11,1998,범일로
